vendor_disrupted,molecule,country,shipment_qty,delay_days,severity,lane_vendor_count,has_alternate,action,alternate_vendor,volume_coverage,route
Aurobindo Pharma Limited,Efavirenz,South Africa,116218.0,31,3,6,True,T1_ALT_VENDOR_SAME_LANE,EMCURE PHARMACEUTICALS LTD,0.67,EMCURE PHARMACEUTICALS LTD -> South Africa
Aurobindo Pharma Limited,Lamivudine,South Africa,34067.0,27,3,7,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> South Africa
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Nigeria,2352.0,19,2,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.425,Abbott GmbH & Co. KG -> Nigeria
Aurobindo Pharma Limited,Zidovudine,South Africa,10357.0,55,4,4,True,T1_ALT_VENDOR_SAME_LANE,"JSI R&T INSTITUTE, INC.",0.077,"JSI R&T INSTITUTE, INC. -> South Africa"
CIPLA LIMITED,Tenofovir Disoproxil Fumarate,South Africa,12346.0,27,3,5,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> South Africa
Aurobindo Pharma Limited,Lamivudine,South Africa,11640.0,106,5,7,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> South Africa
"Orgenics, Ltd","Chase Buffer, Determine, 100 Tests, 2.5ml x 1 Vial",South Sudan,45.0,5,1,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,WAGENIA,1.0,WAGENIA -> South Sudan
Aurobindo Pharma Limited,Efavirenz,South Africa,53954.0,3,1,6,True,T1_ALT_VENDOR_SAME_LANE,EMCURE PHARMACEUTICALS LTD,1.0,EMCURE PHARMACEUTICALS LTD -> South Africa
S. BUYS WHOLESALER,Lamivudine,South Africa,43.0,1,1,7,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> South Africa
CIPLA LIMITED,Tenofovir Disoproxil Fumarate,South Africa,44717.0,47,4,5,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> South Africa
Aurobindo Pharma Limited,Efavirenz,South Africa,108211.0,64,4,6,True,T1_ALT_VENDOR_SAME_LANE,EMCURE PHARMACEUTICALS LTD,0.72,EMCURE PHARMACEUTICALS LTD -> South Africa
Aurobindo Pharma Limited,Nevirapine,South Africa,10233.0,63,4,6,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> South Africa
CIPLA LIMITED,Tenofovir Disoproxil Fumarate,South Africa,2016.0,10,2,5,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> South Africa
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Nigeria,3023.0,6,1,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.331,Abbott GmbH & Co. KG -> Nigeria
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Nigeria,2853.0,48,4,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.351,Abbott GmbH & Co. KG -> Nigeria
Aurobindo Pharma Limited,Efavirenz,Tanzania,25741.0,3,1,4,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> Tanzania
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Nigeria,2835.0,3,1,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.353,Abbott GmbH & Co. KG -> Nigeria
Aurobindo Pharma Limited,Nevirapine,South Africa,14065.0,25,3,6,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> South Africa
Aurobindo Pharma Limited,Zidovudine,South Africa,17470.0,19,2,4,True,T1_ALT_VENDOR_SAME_LANE,"JSI R&T INSTITUTE, INC.",0.046,"JSI R&T INSTITUTE, INC. -> South Africa"
Aurobindo Pharma Limited,Efavirenz,South Africa,119251.0,7,1,6,True,T1_ALT_VENDOR_SAME_LANE,EMCURE PHARMACEUTICALS LTD,0.653,EMCURE PHARMACEUTICALS LTD -> South Africa
STRIDES ARCOLAB LIMITED,Efavirenz,Ghana,60000.0,7,1,3,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.589,Aurobindo Pharma Limited -> Ghana
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Zambia,6314.0,15,2,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.158,Abbott GmbH & Co. KG -> Zambia
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Nigeria,614.0,2,1,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,1.0,Abbott GmbH & Co. KG -> Nigeria
Aurobindo Pharma Limited,Efavirenz,South Africa,40135.0,38,3,6,True,T1_ALT_VENDOR_SAME_LANE,EMCURE PHARMACEUTICALS LTD,1.0,EMCURE PHARMACEUTICALS LTD -> South Africa
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Vietnam,22232.0,3,1,2,True,T1_ALT_VENDOR_SAME_LANE,HETERO LABS LIMITED,0.799,HETERO LABS LIMITED -> Vietnam
CIPLA LIMITED,Tenofovir Disoproxil Fumarate,South Africa,7610.0,127,5,5,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> South Africa
Aurobindo Pharma Limited,Efavirenz,South Africa,19214.0,37,3,6,True,T1_ALT_VENDOR_SAME_LANE,EMCURE PHARMACEUTICALS LTD,1.0,EMCURE PHARMACEUTICALS LTD -> South Africa
S. BUYS WHOLESALER,Efavirenz,South Africa,6387.0,16,2,6,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> South Africa
Aurobindo Pharma Limited,Lamivudine/Nevirapine/Zidovudine,Cameroon,38515.0,22,3,3,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,0.76,SCMS from RDC -> Cameroon
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Nigeria,6375.0,7,1,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.157,Abbott GmbH & Co. KG -> Nigeria
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Nigeria,3038.0,4,1,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.329,Abbott GmbH & Co. KG -> Nigeria
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Nigeria,6010.0,1,1,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.166,Abbott GmbH & Co. KG -> Nigeria
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Nigeria,3064.0,1,1,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.326,Abbott GmbH & Co. KG -> Nigeria
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Kenya,5938.0,19,2,2,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,0.059,SCMS from RDC -> Kenya
STRIDES ARCOLAB LIMITED,Efavirenz,Ghana,60000.0,6,1,3,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.589,Aurobindo Pharma Limited -> Ghana
Aurobindo Pharma Limited,Nevirapine,South Africa,19098.0,103,5,6,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> South Africa
CIPLA LIMITED,Tenofovir Disoproxil Fumarate,South Africa,51920.0,14,2,5,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> South Africa
Aurobindo Pharma Limited,Tenofovir Disoproxil Fumarate,South Africa,42938.0,101,5,5,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,CIPLA LIMITED -> South Africa
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Nigeria,2996.0,2,1,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.334,Abbott GmbH & Co. KG -> Nigeria
CIPLA LIMITED,Nevirapine,South Africa,35364.0,48,4,6,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,1.0,STRIDES ARCOLAB LIMITED -> South Africa
Aurobindo Pharma Limited,Tenofovir Disoproxil Fumarate,South Africa,14155.0,9,2,5,True,T1_ALT_VENDOR_SAME_LANE,CIPLA LIMITED,1.0,CIPLA LIMITED -> South Africa
Aurobindo Pharma Limited,Zidovudine,South Africa,8366.0,84,4,4,True,T1_ALT_VENDOR_SAME_LANE,"JSI R&T INSTITUTE, INC.",0.096,"JSI R&T INSTITUTE, INC. -> South Africa"
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Nigeria,2744.0,1,1,3,True,T1_ALT_VENDOR_SAME_LANE,Abbott GmbH & Co. KG,0.364,Abbott GmbH & Co. KG -> Nigeria
CIPLA LIMITED,Tenofovir Disoproxil Fumarate,South Africa,63785.0,86,4,5,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,0.834,Aurobindo Pharma Limited -> South Africa
CIPLA LIMITED,Nevirapine,South Africa,96770.0,15,2,6,True,T1_ALT_VENDOR_SAME_LANE,STRIDES ARCOLAB LIMITED,0.765,STRIDES ARCOLAB LIMITED -> South Africa
