date,stress_score,stress_level,type
2024-12-08,0.4189163557592664,MEDIUM,historical
2024-12-15,0.3931345059979916,LOW,historical
2024-12-22,0.3751882018065637,LOW,historical
2024-12-29,0.3660520006126075,LOW,historical
2025-01-05,0.3886346756489406,LOW,historical
2025-01-12,0.4123416934593803,MEDIUM,historical
2025-01-19,0.4364266919871467,MEDIUM,historical
2025-01-26,0.4654490058873285,MEDIUM,historical
2025-02-02,0.4639862943248846,MEDIUM,historical
2025-02-09,0.4657609790902205,MEDIUM,historical
2025-02-16,0.4662856711919756,MEDIUM,historical
2025-02-23,0.4621416141814543,MEDIUM,historical
2025-03-02,0.4580396103201475,MEDIUM,historical
2025-03-09,0.4371384514238949,MEDIUM,historical
2025-03-16,0.4227533981895213,MEDIUM,historical
2025-03-23,0.3966414572231401,LOW,historical
2025-03-30,0.3895555868192217,LOW,historical
2025-04-06,0.3980069708570544,LOW,historical
2025-04-13,0.3800963106777698,LOW,historical
2025-04-20,0.3757187075451694,LOW,historical
2025-04-27,0.3595004051472431,LOW,historical
2025-05-04,0.3438059248924292,LOW,historical
2025-05-11,0.3474184056787249,LOW,historical
2025-05-18,0.3467735176389768,LOW,historical
2025-05-25,0.3475741540381534,LOW,historical
2025-06-01,0.3483884010421756,LOW,historical
2025-06-08,0.3465925667867506,LOW,historical
2025-06-15,0.3443588397909425,LOW,historical
2025-06-22,0.3447390713043411,LOW,historical
2025-06-29,0.3518903843823266,LOW,historical
2025-07-06,0.3531475643281926,LOW,historical
2025-07-13,0.3514116134095955,LOW,historical
2025-07-20,0.3509760263251114,LOW,historical
2025-07-27,0.3436636524552465,LOW,historical
2025-08-03,0.3377208672667004,LOW,historical
2025-08-10,0.3472385164108915,LOW,historical
2025-08-17,0.3438435060466317,LOW,historical
2025-08-24,0.3347682877208712,LOW,historical
2025-08-31,0.3414061185837347,LOW,historical
2025-09-07,0.3559002375964795,LOW,historical
2025-09-14,0.3590735459222341,LOW,historical
2025-09-21,0.3617337492429409,LOW,historical
2025-09-28,0.3643601289086457,LOW,historical
2025-10-05,0.3628493619479866,LOW,historical
2025-10-12,0.3751009900868267,LOW,historical
2025-10-19,0.3927405916766784,LOW,historical
2025-10-26,0.3992185964584913,LOW,historical
2025-11-02,0.3770745817378277,LOW,historical
2025-11-09,0.3603257404139743,LOW,historical
2025-11-16,0.3494490104736661,LOW,historical
2025-11-23,0.3500544953356193,LOW,historical
2025-11-30,0.3599141135850419,LOW,historical
2025-12-07,0.3631565583884323,LOW,historical
2025-12-14,0.3630785954240865,LOW,historical
2025-12-21,0.3510236876148118,LOW,historical
2025-12-28,0.3411094780883741,LOW,historical
2026-01-04,0.3335752410049263,LOW,historical
2026-01-11,0.3360794924483402,LOW,historical
2026-01-18,0.3285555909060044,LOW,historical
2026-01-25,0.3227218061894313,LOW,historical
2026-02-01,0.3216436911920389,LOW,historical
2026-02-08,0.3123660521263109,LOW,historical
2026-02-15,0.326722401654807,LOW,historical
2026-02-22,0.3335495503372088,LOW,historical
2026-03-01,0.3511027975711187,LOW,historical
2026-03-08,0.3711527200969019,LOW,historical
2026-03-15,0.3996240512010471,LOW,historical
2026-03-22,0.4069105386734009,MEDIUM,forecast
2026-03-29,0.40820735692977905,MEDIUM,forecast
2026-04-05,0.4072074294090271,MEDIUM,forecast
2026-04-12,0.40288564562797546,MEDIUM,forecast
